time	Total Usage
1.38E+09	3883.9
1.38E+09	3898.7
1.38E+09	3884.3
1.38E+09	3886.7
1.38E+09	3894.4
1.38E+09	3905.9
1.38E+09	3897.3
1.38E+09	3903.7
1.38E+09	3902.4
1.38E+09	3905.4
1.38E+09	3844.3
1.38E+09	3769
1.38E+09	3765.4
1.38E+09	3769.6
1.38E+09	3766.6
1.38E+09	3766.3
1.38E+09	3774.3
1.38E+09	3760.8
1.38E+09	3804.5
1.38E+09	3998.6
1.38E+09	3908.8
1.38E+09	3880.5
1.38E+09	3869.7
1.38E+09	3878
1.38E+09	3891.9
1.38E+09	3894.3
1.38E+09	3868.3
1.38E+09	3882.9
1.38E+09	3873.4
1.38E+09	3873.1
1.38E+09	3883.4
1.38E+09	3880.4
1.38E+09	3847.7
1.38E+09	3897.9
1.38E+09	3888.1
1.38E+09	3872.7
1.38E+09	3815.4
1.38E+09	3769.8
1.38E+09	3768.3
1.38E+09	3762.9
1.38E+09	3766.8
1.38E+09	3766.6
1.38E+09	3769.7
1.38E+09	3770.2
1.38E+09	6085.8
1.38E+09	11589
1.38E+09	3878.1
1.38E+09	3912.8
1.38E+09	3910.6
1.38E+09	3821.8
1.38E+09	3717.3
1.38E+09	3709.2
1.38E+09	3720.2
1.38E+09	3733.6
1.38E+09	3754.7
1.38E+09	3678.9
1.38E+09	3723.2
1.38E+09	3706.1
1.38E+09	3726.2
1.38E+09	3720
1.38E+09	3701.8
1.38E+09	3727.2
1.38E+09	3623.4
1.38E+09	3603.9
1.38E+09	3600.4
1.38E+09	3601.6
1.38E+09	3596.8
1.38E+09	3591.8
1.38E+09	3599.1
1.38E+09	3605.7
1.38E+09	3586.6
1.38E+09	3642.4
1.38E+09	3647.2
1.38E+09	3640.3
1.38E+09	3650
1.38E+09	3640.6
1.38E+09	3634.8
1.38E+09	3638.3
1.38E+09	3662.3
1.38E+09	3653.5
1.38E+09	3641.7
1.38E+09	3637
1.38E+09	3637.1
1.38E+09	3637
1.38E+09	3642.5
1.38E+09	3675.7
1.38E+09	3683.6
1.38E+09	3688.1
1.38E+09	3688.2
1.38E+09	3685.9
1.38E+09	3688.7
1.38E+09	3688.8
1.38E+09	3693.9
1.38E+09	3687
1.38E+09	3685.7
1.38E+09	3694.6
1.38E+09	3688.3
1.38E+09	5115.6
1.38E+09	4512.6
1.38E+09	4517
1.38E+09	4472.6
1.38E+09	4405.7
1.38E+09	4401.8
1.38E+09	4415.2
1.38E+09	4447.6
1.38E+09	4432.1
1.38E+09	4423.7
1.38E+09	4415.1
1.38E+09	4345
1.38E+09	3826.2
1.38E+09	3786
1.38E+09	3801.3
1.38E+09	3769
1.38E+09	3735.8
1.38E+09	3735.1
1.38E+09	3741.8
1.38E+09	3750.2
1.38E+09	3755.5
1.38E+09	3713.7
1.38E+09	3718
1.38E+09	3734.6
1.38E+09	3726.7
1.38E+09	3720.5
1.38E+09	3668.5
1.38E+09	3670.8
1.38E+09	3668.9
1.38E+09	3695.9
1.38E+09	3745.5
1.38E+09	3725
1.38E+09	3726.2
1.38E+09	3709.3
1.38E+09	3692.7
1.38E+09	3686.7
1.38E+09	3680.1
1.38E+09	3683.7
1.38E+09	3710.1
1.38E+09	3666
1.38E+09	3671.1
1.38E+09	3667.9
1.38E+09	3673.9
1.38E+09	3682.6
1.38E+09	3680.4
1.38E+09	3664.2
1.38E+09	3661.9
1.38E+09	3736.8
1.38E+09	3693.5
1.38E+09	3702.8
1.38E+09	3724.3
1.38E+09	3706.4
1.38E+09	3716.2
1.38E+09	3703.3
1.38E+09	3706.5
1.38E+09	3704.5
1.38E+09	3677.5
1.38E+09	3679.6
1.38E+09	3715.1
1.38E+09	3657.8
1.38E+09	3664.7
1.38E+09	3670.7
1.38E+09	3663.9
1.38E+09	3666
1.38E+09	3696.7
1.38E+09	3749.5
1.38E+09	3753.3
1.38E+09	3750.6
1.38E+09	3738.8
1.38E+09	3741.6
1.38E+09	3748.2
1.38E+09	3759.2
1.38E+09	3747.6
1.38E+09	3723.7
1.38E+09	3738.7
1.38E+09	3724.8
1.38E+09	6136
1.38E+09	11068
1.38E+09	3736.9
1.38E+09	3739.9
1.38E+09	3730.8
1.38E+09	3734.2
1.38E+09	3728.3
1.38E+09	3726.6
1.38E+09	3730.3
1.38E+09	3726.6
1.38E+09	3730.1
1.38E+09	3731.3
1.38E+09	3699.1
1.38E+09	3493.9
1.38E+09	3492.7
1.38E+09	3489.1
1.38E+09	3491.6
1.38E+09	3490.2
1.38E+09	3489.2
1.38E+09	3464.9
1.38E+09	3470.3
1.38E+09	3467.4
1.38E+09	3472.6
1.38E+09	3469.7
1.38E+09	3475.4
1.38E+09	3486.3
1.38E+09	3473.9
1.38E+09	3474.6
1.38E+09	3474.4
1.38E+09	3476.2
1.38E+09	3476.5
1.38E+09	3496.1
1.38E+09	3477.6
1.38E+09	3473
1.38E+09	3472.6
1.38E+09	3476.1
1.38E+09	3472.6
1.38E+09	3470.1
1.38E+09	3548.8
1.38E+09	3638.4
1.38E+09	3728.2
1.38E+09	3777.5
1.38E+09	3748
1.38E+09	3715.2
1.38E+09	3699.7
1.38E+09	3682.1
1.38E+09	3678.7
1.38E+09	3640.8
1.38E+09	3631.5
1.38E+09	3614.9
1.38E+09	3600.8
1.38E+09	3585.3
1.38E+09	3567.7
1.38E+09	3555
1.38E+09	3538.3
1.38E+09	3544.3
1.38E+09	3542
1.38E+09	3538.3
1.38E+09	3551.9
1.38E+09	3602.9
1.38E+09	3593.1
1.38E+09	3573.3
1.38E+09	3560
1.38E+09	3556.6
1.38E+09	3532.3
1.38E+09	3464.2
1.38E+09	3460.4
1.38E+09	3464.6
1.38E+09	3460.2
1.38E+09	3448.9
1.38E+09	3435
1.38E+09	3440.8
1.38E+09	3490.9
1.38E+09	3486.7
1.38E+09	3481
1.38E+09	3482.7
1.38E+09	3483.5
1.38E+09	3479.5
1.38E+09	3487.1
1.38E+09	3488.9
1.38E+09	3480.2
1.38E+09	3493.9
1.38E+09	3488
1.38E+09	3483.3
1.38E+09	3526.2
1.38E+09	3623.9
1.38E+09	3688.9
1.38E+09	3672.2
1.38E+09	3642.7
1.38E+09	3673.5
1.38E+09	3654.6
1.38E+09	3634.9
1.38E+09	3624.8
1.38E+09	3617.1
1.38E+09	3598
1.38E+09	3579.1
1.38E+09	3574.9
1.38E+09	3574.4
1.38E+09	3566.3
1.38E+09	3556.5
1.38E+09	3557.6
1.38E+09	3558.9
1.38E+09	3554.2
1.38E+09	3555.3
1.38E+09	3549.8
1.38E+09	3562.3
1.38E+09	3551.8
1.38E+09	3553
1.38E+09	3550.1
1.38E+09	3559.9
1.38E+09	3570.1
1.38E+09	3592
1.38E+09	3594.9
1.38E+09	3596.9
1.38E+09	3615.8
1.38E+09	3615.4
1.38E+09	3615
1.38E+09	3618.3
1.38E+09	3625.4
1.38E+09	3614.7
1.38E+09	3625.8
1.38E+09	3655.1
1.38E+09	3689.1
1.38E+09	3697.8
