time,Total Usage,Microwave,Washing Machine,Oven Unit,Stove Unit,1st Floor AHU,Refrigerator,Dishwasher,PV Solar Generation (1),PV Solar Generation (2)
1.38E+09,3719.2,1.9,47.2,5.3,0.8,379.3,354.3,2.3,0.2,0.1
1.38E+09,3720.1,1.9,47.1,5.3,0.8,379.3,360.1,2.3,0.1,0.1
1.38E+09,3710.7,1.9,47,5.4,0.8,378.9,354.6,2.3,0.1,0.1
1.38E+09,3712.4,1.9,43.3,5.2,0.9,379,356,2.3,0.1,0.1
1.38E+09,3690.9,1.8,20.9,5.3,0.8,378.7,358,2.5,0.2,0.1
1.38E+09,3688.9,1.9,24.4,5.4,0.8,379,352.7,2.3,0.1,0.1
1.38E+09,3719.4,1.8,53.8,5.3,0.9,378.7,353.7,2.4,0.1,0.1
1.38E+09,3728.9,1.8,66.4,5.4,0.9,379.1,354.6,2.4,0.1,0.1
1.38E+09,3730.8,1.8,64.3,5.5,0.9,378.4,356.2,2.3,0.1,0.1
1.38E+09,3724,1.9,64.1,5.4,0.8,378.2,353.5,2.3,0.1,0.1
1.38E+09,3732.8,1.9,64.5,5.2,0.8,378.4,356.2,2.4,0.2,0.1
1.38E+09,3729.9,1.7,64.3,5.4,0.9,378.9,356.4,2.2,0.1,0.1
1.38E+09,3729.9,1.9,64.9,5.3,0.8,377.7,352.9,2.3,0.1,0.1
1.38E+09,3743.6,1.9,64.4,5.4,0.8,378.1,355.1,2.3,0.1,0.1
1.38E+09,3730.8,2,64.3,5.4,0.9,378.1,358.1,2.3,0.1,0.1
1.38E+09,3728.5,1.8,64.8,5.3,0.8,378.9,353.7,2.3,0.1,0.1
1.38E+09,3730.1,1.9,65.1,5.3,0.8,378.1,355.9,2.4,0.1,0.1
1.38E+09,3731.9,1.9,65.2,5.3,0.8,378.7,355.8,2.3,0.1,0.1
1.38E+09,3743,2,72.6,5.3,0.9,378.5,356.5,2.4,0.1,0.1
1.38E+09,3852.6,1.7,180.7,5.4,0.8,378.5,353.7,2.3,0.1,0.1
1.38E+09,3935.9,1.7,265.8,5.4,1,378.5,355.7,2.3,0.1,0.1
1.38E+09,3912.4,1.8,253.7,5.4,0.8,379.2,351.5,2.4,0.1,0.1
1.38E+09,3881.3,1.8,211.3,5.3,0.9,379.6,357.1,2.4,0.1,0.1
1.38E+09,3899.8,1.9,236.7,5.4,0.9,379.4,354.7,2.3,0.2,0.1
1.38E+09,3876.8,1.8,209.6,5.3,0.9,379.1,358.4,2.3,0.1,0.1
1.38E+09,3860.5,1.8,189.8,5.4,0.8,378.7,356.7,2.3,0.1,0.1
1.38E+09,3844.4,1.7,173,5.5,0.9,378.4,355.4,2.3,0.1,0.1
1.38E+09,3818.6,1.8,160.3,5.3,0.9,378.3,354.3,2.3,0.1,0.1
1.38E+09,3814.4,1.7,150.2,5.4,0.9,378,355.1,2.4,0.1,0.1
1.38E+09,3804.3,1.9,141.1,5.3,0.8,378.1,355.4,2.4,0.1,0.1
1.38E+09,3815.8,1.8,139.9,5.4,0.9,378.3,357.7,2.3,0.1,0.1
1.38E+09,3804.5,1.8,133.2,5.4,0.8,378.9,357.8,2.4,0.1,0.1
1.38E+09,3796.6,1.8,127.4,5.3,0.8,378.9,356.2,2.3,0.1,0.1
1.38E+09,3792.4,1.8,124.2,5.3,0.8,378.1,358.8,2.3,0.1,0.1
1.38E+09,3793.3,1.9,124.2,5.3,0.8,377.6,357.3,2.4,0.1,0.1
1.38E+09,3792.6,1.9,120.6,5.3,0.8,378,359.5,2.4,0.1,0.1
1.38E+09,3792.1,1.8,119.1,5.3,0.9,378.5,359.7,2.5,0.1,0.1
1.38E+09,3784.9,1.8,120.9,5.4,0.7,378,354.6,2.4,0.1,0.1
1.38E+09,3792.3,1.8,121.5,5.3,0.9,378.6,358,2.4,0.1,0.1
1.38E+09,3791.4,1.8,119.1,5.3,0.7,378,356.8,2.3,0.1,0.1
1.38E+09,3802.8,1.8,121.6,5.3,0.8,377.6,358,2.5,0.1,0.1
1.38E+09,3796.7,1.8,122.2,5.3,0.8,378.3,356.2,2.3,0.2,0.1
1.38E+09,3784,1.9,120.4,5.4,0.9,377.7,354,2.3,0.1,0.1
1.38E+09,3783.9,1.9,123.2,5.3,0.8,377.4,355.5,2.3,0.1,0.1
1.38E+09,3796.7,1.8,134.1,5.4,1,378.3,355,2.4,0.1,0.1
1.38E+09,3810.4,1.8,140.5,5.3,0.9,378.5,356.7,2.3,0.1,0.1
1.38E+09,3812,1.8,152.8,5.4,0.9,376.5,358.8,2.4,0.1,0.1
1.38E+09,3821.2,1.9,160.9,5.4,0.8,377.6,356.8,2.3,0.1,0.1
1.38E+09,3821.3,1.8,169,5.4,0.9,377.2,348.2,2.4,0.1,0.1
1.38E+09,3819.1,1.8,174.1,5.5,0.9,378.7,339.2,2.4,0.2,0.1
1.38E+09,3852.6,1.8,179.7,5.3,0.8,378.5,346.1,2.4,0.1,0.1
1.38E+09,3902.6,1.9,188.8,5.4,0.9,379,344.3,2.5,0.2,0.1
1.38E+09,3909.7,1.9,187,5.4,0.9,379.4,344.3,2.3,0.1,0.1
1.38E+09,3910.8,1.8,188.5,5.4,0.8,378.9,344.5,2.3,0.2,0.1
1.38E+09,3908.3,1.8,187.7,5.5,0.8,380,344.4,2.4,0.2,0.1
1.38E+09,3908.5,1.8,196.2,5.4,0.8,377.9,343.2,2.5,0.1,0.1
1.38E+09,3870.7,1.8,197.4,5.3,0.9,379.1,340.6,2.3,0.1,0.1
1.38E+09,3867.6,1.7,208.7,5.4,0.9,378,350.5,2.3,0.1,0.1
1.38E+09,3855.8,1.9,206.1,5.4,1,378.5,341,2.5,0.1,0.1
1.38E+09,3865.6,1.9,212.3,5.4,0.9,378.5,345.4,2.4,0.1,0.1
1.38E+09,3869.7,1.8,217.4,5.4,0.8,378.3,344.3,2.4,0.1,0.1
1.38E+09,3871.4,1.8,212.9,5.4,0.9,378.4,341.5,2.5,0.1,0.1
1.38E+09,3868.2,1.9,212,5.4,0.9,378.3,342.7,2.3,0.1,0.1
1.38E+09,3867.1,1.8,212.8,5.5,0.9,378.3,346.1,2.3,0.1,0.1
1.38E+09,3872.4,1.7,222.2,5.3,0.8,378,344.1,2.4,0.2,0.1
1.38E+09,3871.6,1.7,221.1,5.4,0.9,378.2,342.7,2.3,0.1,0.1
1.38E+09,3868.5,1.9,214.4,5.3,0.9,378.1,343.1,2.4,0.1,0.1
1.38E+09,3858.8,1.7,212.4,5.4,1,377.7,341.2,2.4,0.2,0.1
1.38E+09,3860.8,1.8,207,5.4,0.8,378.8,343,2.5,0.1,0.1
1.38E+09,3856.6,1.8,204.6,5.3,0.9,378.4,342.8,2.5,0.1,0.1
1.38E+09,3859.4,1.9,207.5,5.3,0.9,378.3,344.3,2.4,0.1,0.1
1.38E+09,3853.8,1.9,203.8,5.4,0.9,378.4,343,2.4,0.1,0.1
1.38E+09,3856.1,1.8,204.2,5.5,0.9,378.5,344.1,2.5,0.1,0.1
1.38E+09,3846.6,1.8,197.5,5.3,0.8,379.2,342.3,2.3,0.1,0.1
1.38E+09,3845,1.9,194.2,5.3,1,378.5,342.9,2.4,0.1,0.1
1.38E+09,3839.2,1.9,193.1,5.4,0.8,378.1,340.5,2.3,0.1,0.1
1.38E+09,3841.7,1.9,190.3,5.5,0.8,378.4,342.9,2.3,0.1,0.1
1.38E+09,3844.6,1.7,192.3,5.3,0.9,378.3,342.9,2.4,0.1,0.1
1.38E+09,3842.8,1.9,191.8,5.5,0.9,378.5,340.1,2.4,0.2,0.1
1.38E+09,3846.2,1.8,186.8,5.3,0.9,378.6,347.4,2.4,0.1,0.1
1.38E+09,3836.1,1.8,184.2,5.3,0.9,378,346.6,2.4,0.1,0.1
1.38E+09,3825.8,1.9,178.2,5.3,0.9,378.1,348.3,2.4,0.1,0.1
1.38E+09,3839.4,1.7,181.1,5.3,1,379.1,342.3,2.3,0.1,0.1
1.38E+09,3834.7,1.8,183.4,5.4,0.9,378.2,344.8,2.4,0.1,0.1
1.38E+09,3830.1,1.9,178.3,5.4,0.9,377.9,344.6,2.3,0.1,0.1
1.38E+09,3827.9,1.8,177.3,5.3,0.7,377.7,342.5,2.4,0.1,0.1
1.38E+09,3834.5,1.8,179,5.4,0.9,378.4,344.6,2.4,0.2,0.1
1.38E+09,13827,3.5,174.7,7.1,4.9,373.1,339.7,3.8,0.2,0.1
1.38E+09,3831.7,1.8,175.7,5.3,0.9,378.1,345,2.4,0.1,0.1
1.38E+09,3829.8,1.8,174.3,5.3,0.9,378.2,348.5,2.3,0.1,0.1
1.38E+09,3829.9,1.9,174,5.4,0.9,378.3,346.2,2.4,0.1,0.1
1.38E+09,3830.7,1.8,174.3,5.4,0.8,379.1,346,2.3,0.1,0.1
