time	Total Usage	Microwave	Washing Machine
1381370696	3658.7	1.8	9.4
1381370697	3657.9	1.8	9.4
1381370698	3661.7	1.9	9.4
1381370699	3655.1	1.9	9.3
1381370700	3661.9	1.9	9.2
1381370701	3673.2	1.9	9.3
1381370702	3680.1	1.8	9.5
1381370703	3676	1.8	9.4
1381370704	3662.4	1.8	9.3
1381370705	3659.3	1.8	9.3
1381370706	3659.2	1.8	9.4
1381370707	3659.8	1.9	9.3
1381370708	3659.1	1.8	9.2
1381370709	5066.6	0.2	12
1381370710	4499	0.7	13.3
1381370711	4499.7	0.6	13.5
1381370712	4498.7	0.5	13.4
1381370713	4498.6	0.8	13.3
1381370714	4494.9	0.6	13.4
1381370715	4495.7	0.6	13.5
1381370716	4495.7	0.6	13.3
1381370717	4496.6	0.6	13.4
1381370718	4495.7	0.6	13.5
1381370719	4496.2	0.6	13.4
1381370720	4491.8	0.5	13.4
1381370721	4494.5	0.7	13.3
1381370722	4504.5	0.6	13.4
1381370723	4492.5	0.5	13.4
1381370724	4498.9	0.6	13.4
1381370725	4492	0.5	13.5
1381370726	4495.8	0.5	13.5
1381370727	4497.5	0.6	14.6
1381370728	4541.5	0.6	63.4
1381370729	4516	0.5	34
1381370730	4508.4	0.6	27.1
1381370731	4493	0.5	13.4
1381370732	4496.9	0.6	13.4
1381370733	4492.5	0.6	13.3
1381370734	4491.7	0.5	13.4
1381370735	4492.9	0.6	13.5
1381370736	4493.2	0.6	13.4
1381370737	4498.9	0.6	13.4
1381370738	4518.5	0.7	24.5
1381370739	4562	0.5	70.7
1381370740	4528.2	0.6	35.5
1381370741	4516.6	0.5	25
1381370742	4506.4	0.5	13.3
1381370743	4503.5	0.5	13.4
1381370744	4498.2	0.5	13.4
1381370745	4492.5	0.5	13.3
1381370746	4499.8	0.6	13.4
1381370747	4492.8	0.6	13.4
1381370748	4501.5	0.5	13.3
1381370749	4524.5	0.5	49.6
1381370750	4530.2	0.5	55
1381370751	4522.4	0.6	46.3
1381370752	4502.1	0.5	20.7
1381370753	4483.1	0.5	13.4
1381370754	4493.5	0.5	13.3
1381370755	4485.4	0.6	13.4
1381370756	4496.4	0.5	13.4
1381370757	4496.2	0.5	13.4
1381370758	4488.5	0.6	13.2
1381370759	4492.6	0.5	13.4
1381370760	4567.5	0.5	87.2
1381370761	4540.4	0.5	64.2
1381370762	4539.1	0.6	57
1381370763	4503.6	0.5	16.3
1381370764	4502.1	0.5	13.4
1381370765	4487.7	0.6	13.4
1381370766	4490.8	0.4	13.3
1381370767	4490	0.6	13.4
1381370768	4491.1	0.5	13.1
1381370769	4492.4	0.5	13.3
1381370770	9804.8	2.2	11.1
1381370771	8993.1	1.8	114.3
1381370772	4537.4	0.6	53.4
1381370773	4543	0.5	62.4
1381370774	4498.1	0.6	13.7
1381370775	4506.3	0.4	13.4
1381370776	4501.9	0.6	13.4
1381370777	4503.3	0.6	13.4
1381370778	4501.9	0.5	13.4
1381370779	4497.4	0.4	13.4
1381370780	4497.3	0.5	13.4
1381370781	4497.6	0.6	13.9
1381370782	4660	0.4	173.8
1381370783	4548.2	0.5	61.7
1381370784	4553.4	0.5	62.3
1381370785	4508	0.5	13.3
1381370786	4500.1	0.5	13.4
1381370787	4493.1	0.5	13.5
1381370788	4489.9	0.5	13.3
1381370789	4497.1	0.6	13.4
1381370790	4490.4	0.5	13.3
1381370791	4493.6	0.6	13.3
1381370792	4502	0.5	20.6
1381370793	4662.4	0.5	184.9
1381370794	4589.8	0.6	108.8
1381370795	4542.8	0.5	65
1381370796	4491.1	0.5	13.4
1381370797	4501.2	0.6	13.4
1381370798	4498.4	0.5	13.4
1381370799	4492.3	0.7	13.4
1381370800	4493.2	0.4	13.4
1381370801	4495.6	0.6	13.5
1381370802	4494.8	0.6	13.3
1381370803	4526.3	0.6	44.3
1381370804	4705.9	0.4	225.2
1381370805	4614.5	0.5	125.9
1381370806	4544.3	0.5	60.8
1381370807	4441.8	0.7	9
1381370808	4408	0.7	29.4
1381370809	4411.3	0.8	28
1381370810	4406.6	0.8	29
1381370811	4411.6	0.8	29.5
1381370812	4411.4	0.8	29.3
1381370813	4416.9	0.8	29.8
1381370814	4410.1	0.8	29.7
1381370815	4305.4	0.9	31.4
1381370816	3889.6	1.8	251.3
1381370817	3795.9	1.8	152.9
1381370818	3811.9	1.7	171.8
1381370819	3826.4	1.8	193.4
1381370820	3775.5	1.9	137.8
1381370821	3806.3	1.7	167.4
1381370822	3783.8	1.9	140.3
1381370823	3832.4	1.8	173.9
1381370824	3969.4	1.9	165.6
1381370825	3956.1	1.8	152.4
1381370826	3977.4	1.9	158.5
1381370827	3974.4	1.8	164.5
1381370828	3951.8	1.9	149
1381370829	3976.5	1.9	172.1
1381370830	3962	1.9	164.7
1381370831	3963.8	1.8	165.9
1381370832	3992.4	1.8	187
1381370833	3925.7	1.9	124.1
1381370834	3836	1.9	30.9
1381370835	3836.2	1.9	30.7
1381370836	3833.2	1.9	30.8
1381370837	3847.1	1.9	30.8
1381370838	3857.5	2	30.8
1381370839	3838.8	2	30.8
1381370840	3847.1	2	30.9
1381370841	3889.5	1.9	45.5
1381370842	4113.1	1.7	251.1
1381370843	3993.6	1.8	158
1381370844	3935.6	1.8	128.1
1381370845	3960.8	1.9	154.3
1381370846	3949.1	1.8	139.9
1381370847	3950.5	1.8	130.3
1381370848	3956.5	1.9	150.9
1381370849	3954.2	1.9	153.8
1381370850	3953	1.8	152.1
1381370851	3956.9	1.9	151.9
1381370852	3961.2	1.9	154.6
1381370853	3956.5	2	149.3
1381370854	3977.5	1.9	171.2
1381370855	3974.3	1.8	168.2
1381370856	3954.7	2	149.7
1381370857	3965.2	1.8	154.8
1381370858	3962.8	2	161.1
1381370859	3882.4	1.9	77.1
1381370860	3841.9	1.9	31
1381370861	3841	1.9	30.9
1381370862	3836.5	2.1	30.8
1381370863	3832.1	2	31
1381370864	3837.6	2	31
1381370865	3837	1.9	30.7
1381370866	3833.6	1.8	30.9
1381370867	3883.2	1.9	79.3
1381370868	4038.7	1.8	225.2
1381370869	3939.7	2	134.9
1381370870	3938.1	1.6	139.1
1381370871	3944.4	1.9	139.8
1381370872	3949.4	1.7	138
1381370873	3941.2	2	134.5
1381370874	3981.3	1.8	160.9
1381370875	3980.5	2	146.2
1381370876	3987.9	1.9	164
1381370877	3993.8	1.9	168.9
1381370878	3948.9	1.9	130.3
1381370879	3967.9	2	152.9
1381370880	3981.5	2	165.2
1381370881	3970.4	1.9	156.9
1381370882	3972.2	2	154.8
1381370883	3992.6	2	173.7
1381370884	3974.1	1.9	164.7
1381370885	3878.3	2	67.2
1381370886	3850.1	1.9	30.8
1381370887	3847	1.9	30.8
1381370888	3849	1.9	30.7
1381370889	3864.4	1.8	30.9
1381370890	3850.7	1.9	30.8
1381370891	3852	1.8	30.7
1381370892	3852.3	1.9	30.8
1381370893	3968.3	1.8	146.7
1381370894	4022.5	1.8	204.3
1381370895	3993.4	1.7	192.6
1381370896	3959.4	1.9	152.2
1381370897	3960.3	1.8	147
1381370898	13760.8	3.4	126.7
1381370899	3966.4	1.9	147.5
1381370900	3944.8	1.9	152.7
1381370901	3886.7	1.8	157
1381370902	3902.6	1.7	170.7
1381370903	3899.7	1.9	165.3
1381370904	3903	1.7	167.6
1381370905	3885.8	1.8	158.7
1381370906	3880.6	1.7	150.2
1381370907	3891	1.7	152.4
1381370908	3896.6	1.8	167.7
1381370909	3901.9	1.9	168.4
1381370910	3874.7	1.8	133.3
1381370911	3769.6	1.8	41.7
1381370912	3761	1.8	30.7
1381370913	3758.1	1.9	30.7
1381370914	3761.4	1.9	30.9
1381370915	3758.2	1.9	30.8
1381370916	3754.6	1.8	30.8
1381370917	3754.4	1.9	30.7
1381370918	3759.5	1.8	30.9
1381370919	3894.3	1.8	168.3
1381370920	3943.9	1.9	212.8
1381370921	3908.1	1.9	177.2
1381370922	3858.5	1.9	133.9
1381370923	3902	1.9	177.2
1381370924	3905.1	1.8	178.1
1381370925	3900.2	1.8	172.3
1381370926	3875.9	1.8	140.8
1381370927	3886.6	1.8	158.4
1381370928	3883.7	1.9	158.6
1381370929	3876	1.8	146.3
1381370930	3842.6	1.9	113.2
1381370931	3891.7	1.8	156.3
1381370932	3868.5	2	142
1381370933	3874.3	1.7	150.8
1381370934	3867.4	2	141.8
1381370935	3863.2	1.8	138.7
1381370936	3862.2	2	133.3
1381370937	3763.6	1.8	31
1381370938	3758.4	2	30.8
1381370939	3762.6	1.8	30.7
1381370940	3759.4	1.8	30.7
1381370941	3764.8	1.7	30.9
1381370942	3772.5	1.8	30.6
1381370943	3768.3	1.8	30.8
1381370944	3768.9	1.8	31.7
1381370945	3967.8	1.7	232.6
1381370946	3893.6	1.8	159.4
1381370947	3881.9	1.8	149.8
1381370948	3878.1	1.8	147.1
1381370949	3875.8	1.7	148.4
1381370950	3868.1	1.8	140
1381370951	3857.6	1.9	131.8
1381370952	3881.3	1.8	141.6
1381370953	3850.2	1.9	122.5
1381370954	3886	1.9	161.9
1381370955	3854.8	1.9	130.2
1381370956	3902.9	1.8	172.1
1381370957	3873	1.8	137.8
1381370958	3884.5	1.8	151
1381370959	3883.9	1.8	152
1381370960	3851.8	1.8	123.7
1381370961	3877.9	1.8	146.7
1381370962	3840.9	2.1	109.1
1381370963	3764.7	1.8	30.9
1381370964	3759.9	1.8	31
1381370965	3770.4	1.9	30.7
1381370966	3762.6	1.9	30.8
1381370967	3765.8	2	30.9
1381370968	3769.5	1.9	30.8
1381370969	3765.3	1.9	30.8
1381370970	3772.3	1.8	41.9
1381370971	3986.1	1.8	255.3
1381370972	3911.7	1.7	175.1
1381370973	3914.3	1.8	175.8
1381370974	3883	1.8	154
1381370975	3895.6	1.8	165.1
1381370976	3868.1	1.7	140.3
1381370977	3893.7	1.9	163.7
1381370978	3883.9	1.9	155.5
1381370979	3898.7	1.8	168.8
1381370980	3884.3	1.9	157.7
1381370981	3886.7	1.7	154.1
1381370982	3894.4	1.7	163.4
1381370983	3905.9	2	166.1
1381370984	3897.3	1.7	155.8
1381370985	3903.7	1.8	162.9
1381370986	3902.4	1.8	166
1381370987	3905.4	1.8	164.3
1381370988	3844.3	1.9	101.6
1381370989	3769	1.9	30.9
1381370990	3765.4	1.9	30.9
1381370991	3769.6	1.8	30.9
1381370992	3766.6	1.8	31
1381370993	3766.3	1.9	30.9
1381370994	3774.3	1.9	30.9
1381370995	3760.8	1.9	30.9
1381370996	3804.5	1.9	74
1381370997	3998.6	1.8	271.1
1381370998	3908.8	1.8	174.5
1381370999	3880.5	1.8	147.4
1381371000	3869.7	1.8	138.9
1381371001	3878	1.9	148.4
1381371002	3891.9	1.7	156.8
1381371003	3894.3	1.9	162.9
1381371004	3868.3	1.7	138.6
1381371005	3882.9	1.9	154.3
1381371006	3873.4	1.9	146.2
1381371007	3873.1	1.8	143.7
1381371008	3883.4	1.9	159.6
1381371009	3880.4	1.9	154.6
1381371010	3847.7	1.9	121.1
1381371011	3897.9	1.9	166
1381371012	3888.1	1.8	158.1
1381371013	3872.7	1.9	137.9
1381371014	3815.4	2	75.7
1381371015	3769.8	1.9	30.9
1381371016	3768.3	1.9	30.9
1381371017	3762.9	1.9	30.9
1381371018	3766.8	2	30.9
1381371019	3766.6	1.9	30.8
1381371020	3769.7	1.9	31
1381371021	3770.2	1.9	30.9
1381371022	6085.8	0.7	136.4
1381371023	11589.2	2.3	225
1381371024	3878.1	1.9	142.4
1381371025	3912.8	1.9	187.6
1381371026	3910.6	1.9	180.6
1381371027	3821.8	1.8	177.3
1381371028	3717.3	1.8	140.5
1381371029	3709.2	1.7	135.7
1381371030	3720.2	1.7	157.2
1381371031	3733.6	1.7	163.8
1381371032	3754.7	1.7	184
1381371033	3678.9	1.8	108
1381371034	3723.2	1.7	161.8
1381371035	3706.1	1.8	138.6
1381371036	3726.2	1.7	156.4
1381371037	3720	1.7	158.1
1381371038	3701.8	1.7	141.8
1381371039	3727.2	1.9	162.9
1381371040	3623.4	1.7	49.5
1381371041	3603.9	1.7	30.8
1381371042	3600.4	1.7	30.7
1381371043	3601.6	1.8	30.9
1381371044	3596.8	2	30.9
1381371045	3591.8	1.8	30.7
1381371046	3599.1	1.9	30.8
1381371047	3605.7	1.8	30.7
1381371048	3586.6	1.8	12.4
1381371049	3642.4	1.8	73.3
1381371050	3647.2	1.9	72.2
1381371051	3640.3	1.8	70.5
1381371052	3650	1.7	70.7
1381371053	3640.6	1.8	70.6
1381371054	3634.8	1.8	70.5
1381371055	3638.3	1.9	70.7
1381371056	3662.3	1.8	70.6
1381371057	3653.5	1.7	70.6
1381371058	3641.7	1.8	70.6
1381371059	3637	1.8	70.4
1381371060	3637.1	1.8	70.5
1381371061	3637	1.9	70.6
1381371062	3642.5	1.8	70.6
1381371063	3675.7	1.8	70.6
1381371064	3683.6	1.8	70.3
1381371065	3688.1	1.9	70.5
